blastcode,minename,pitname,benchname,zonename,blastdate,blasttime,rock_name,rock_density,burden,holedia,spacing,hole_depth,sremming_length,bench_height,face_length,hole_angle,total_rows,hole_blasted,expcode,column_charge_density,avg_column_charge_length,avg_col_weight,base_exp_density,avg_base_exp_length,base_exp_weight,booster_length,production_ton_therotical,prodution_therotical_vol,total_explosive_kg,drill_factor,ton_recover,tot_stem,total_drill_mtr,flyrock,air_blast,ppv,total_exp_cost,blast_accessoriesdelay_cost,drillcostperm,drilling_cost,total_drill,man_power_and_accociated_cost,man_power_cost,actual_pf_(ton/kg),theoretical_pf_(ton/kg),frag_over_size,frag_under_size,frag_in_range
97,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-11,14:56:14,SANDSTONE,2.35,8.0,381.0,10.0,19.0,6.14,20.0,0.0,0.0,3.0,17,11,1.15,6.85,897.64,0.0,0.0,0,0.01,63920.0,27200.0,15289.63,197.89,63920.0,104.38,323.0,20.0,0.0,6.71,1184939.0,5317.2,500.0,95000.0,323.0,0.0,0.0,4.18,4.18,10.0,0.0,80.0
111,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-13,02:30:01,SANDSTONE,2.35,8.0,381.0,10.0,19.0,11.99,19.0,0.0,0.0,2.0,14,11,1.15,7.0,800.0,0.0,0.0,0,0.01,50008.0,21280.0,11224.5,188.0,50008.0,167.86,266.0,0.0,0.0,6.71,870781.17,4775.4,500.0,95000.0,266.0,0.0,0.0,4.46,4.46,10.0,0.0,80.0
116,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-16,02:36:24,SANDSTONE,2.35,9.0,381.0,9.0,19.5,12.5,19.5,0.0,0.0,3.0,21,11,1.15,7.0,900.0,0.0,0.0,0,0.0,77948.33,33169.5,18937.8,190.35,77948.33,262.5,409.5,10.0,0.0,6.71,1460428.0,0.0,500.0,95000.0,409.5,0.0,0.0,4.12,4.12,10.0,0.0,80.0
137,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-17,02:35:55,SANDSTONE,2.35,8.5,381.0,9.0,19.5,6.47,19.5,0.0,0.0,4.0,28,11,1.15,6.53,850.0,0.0,0.0,0,0.0,98157.15,41769.0,23846.2,179.78,98157.15,181.16,546.0,0.0,0.0,6.71,1838762.49,4838.4,500.0,95000.0,546.0,0.0,0.0,4.12,4.12,10.0,0.0,80.0
150,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-18,02:30:29,SANDSTONE,2.35,8.5,381.0,9.0,18.0,11.87,18.0,0.0,0.0,4.0,16,11,1.15,6.13,800.0,0.0,0.0,0,0.0,51775.2,22032.0,12826.4,179.78,51775.2,189.92,288.0,15.0,0.0,6.71,989241.4,4132.8,500.0,95000.0,288.0,0.0,0.0,4.04,4.04,10.0,0.0,80.0
167,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-24,12:07:19,SANDSTONE,2.35,8.0,381.0,10.0,18.0,6.14,19.0,0.0,0.0,2.0,22,11,1.15,5.85,766.36,0.0,0.0,0,0.01,78584.0,33440.0,16898.42,198.44,71614.0,135.08,396.0,20.0,96.0,4.27,1311495.0,3880.8,500.0,95000.0,396.0,0.0,0.0,4.24,4.65,10.0,0.0,80.0
169,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-22,12:38:51,SANDSTONE,2.35,8.0,381.0,11.0,15.5,6.0,19.0,0.0,0.0,2.0,22,11,1.15,5.6,733.2,0.0,0.0,0,0.01,86442.4,36784.0,16168.9,253.5,70518.0,132.0,341.0,20.0,0.0,6.71,1255432.0,3880.8,500.0,95000.0,341.0,0.0,0.0,4.36,5.35,1.4,0.1,0.75
170,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-21,14:04:47,SANDSTONE,2.35,8.0,381.0,9.0,17.0,5.22,19.0,0.0,0.0,3.0,29,11,1.15,5.77,756.55,0.0,0.0,0,0.01,93229.2,39672.0,21990.7,189.11,83888.0,151.38,493.0,10.0,0.0,6.71,1706926.0,15735.6,500.0,95000.0,493.0,0.0,0.0,3.81,4.24,1.4,0.1,0.75
174,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-24,14:03:53,SANDSTONE,2.35,8.5,381.0,9.0,19.0,6.56,19.0,0.0,0.0,2.0,20,11,1.15,6.43,842.5,0.0,0.0,0,0.01,68314.5,29070.0,16885.0,179.78,68314.5,131.2,380.0,20.0,0.0,6.71,1309296.0,24768.0,500.0,95000.0,380.0,0.0,0.0,4.05,4.05,1.4,0.1,0.75
186,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-25,14:04:52,SANDSTONE,2.35,8.6,381.0,9.0,19.0,6.18,20.0,0.0,0.0,4.0,24,11,1.15,6.81,892.9,0.0,0.0,0,0.01,87307.2,37152.0,21471.6,191.46,81307.2,148.32,456.0,0.0,0.0,6.71,1664113.0,32553.6,500.0,95000.0,456.0,0.0,0.0,3.79,4.07,10.0,0.0,80.0
192,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-26,14:54:02,SANDSTONE,2.35,8.7,381.0,9.0,18.0,5.34,19.0,0.0,0.0,3.0,10,11,1.15,6.65,872.0,0.0,0.0,0,0.01,34960.95,14877.0,8737.5,194.23,34960.95,53.4,180.0,20.0,0.0,6.71,677318.6,12560.4,500.0,95000.0,180.0,0.0,0.0,4.0,4.0,1.4,0.1,0.7
196,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-27,14:27:30,SANDSTONE,2.35,9.0,381.0,10.0,19.0,8.03,20.0,0.0,0.0,4.0,9,11,1.15,4.96,900.0,0.0,0.0,0,0.01,38070.0,16200.0,8115.75,222.63,36400.0,72.27,171.0,0.0,0.0,6.71,628952.9,10437.6,500.0,95000.0,171.0,0.0,0.0,4.49,4.69,10.0,0.0,80.0
197,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-28,14:46:09,SANDSTONE,2.35,8.0,381.0,9.0,16.0,4.65,17.0,0.0,0.0,4.0,20,11,1.15,5.34,700.0,0.0,0.0,0,0.01,57528.0,24480.0,14026.0,179.78,54300.0,93.0,320.0,20.0,0.0,6.71,1086577.0,17688.0,500.0,95000.0,320.0,0.0,0.0,3.87,4.1,1.5,0.01,0.7
205,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-29,14:11:52,SANDSTONE,2.35,8.0,381.0,9.0,17.0,11.0,17.0,0.0,0.0,5.0,23,11,1.15,0.0,750.0,0.0,0.0,0,0.0,66157.2,28152.0,17284.5,169.2,66157.2,253.0,391.0,20.0,0.0,6.71,1332930.27,22110.0,500.0,95000.0,391.0,0.0,0.0,3.83,3.83,1.5,0.05,0.7
206,Gevra,East Section,Between UK (B) and LK (T),42 cum shovel CAT and PV,2023-05-30,14:24:45,SANDSTONE,2.35,8.0,381.0,9.0,16.0,4.65,16.0,0.0,0.0,2.0,7,11,1.15,5.34,692.86,0.0,0.0,0,0.01,18950.4,8064.0,4860.5,169.2,18950.4,32.55,112.0,20.0,0.0,6.71,374934.4,12031.2,500.0,95000.0,112.0,0.0,0.0,3.9,3.9,1.5,0.05,0.7
