Blast No.,Date of Blast,Location of Blast,Hole Dia,Hole Depth,No. Of Holes,Avg Burden,Avg Spacing,Avg Stem Length,Avg Charge Hole,Total Charge,Ton Recover,Powder Factor
MAD126201830217,23/01/2018,Pit 2 Road side West (RW) and RL 360 TO RL350,115.0,10.0,15,2.5,3.0,3.0,56.67,850.05,0.0,1.32
MAD126201825429,24/01/2018,Pit 1 Road side East (RE) and RL 320 TO RL 330,115.0,4.0,43,2.0,2.5,2.0,13.95,599.85,0.0,1.43
MAD13201894643,26/01/2018,Pit 2 Road side West (RW) and RL 360 TO RL350,115.0,12.0,18,2.5,3.0,3.0,40.78,734.04,0.0,2.21
MAD1292018124313,27/01/2018,Pit 1 Road side East (RE) and RL 380 TO RL 368,115.0,12.5,12,2.5,3.0,3.0,79.17,950.04,0.0,1.23
MAD129201851417,29/01/2018,Pit 1 Road side East (RE) and RL 320 TO RL 330,115.0,4.0,40,2.0,2.5,2.0,11.25,450.0,0.0,1.78
MAD21201855704,01/02/2018,Pit 2 Road side West (RW) and RL 370 TO RL 380,115.0,10.0,26,2.5,3.5,3.5,55.77,1450.02,0.0,1.57
MAD213201891411,03/02/2018,Pit 2 Road side West (RW) and RL340 TO RL330,115.0,4.0,30,2.0,2.5,2.0,11.67,350.1,0.0,1.71
MAD213201893815,07/02/2018,Pit 2 Road side West (RW) and RL 360 TO RL350,115.0,11.0,22,2.5,3.0,3.0,57.95,1274.9,0.0,1.42
MAD213201895353,09/02/2018,Pit 1 Road side East (RE) and RL356 TO RL344,115.0,13.0,22,2.5,3.0,3.0,86.36,1899.92,0.0,1.13
MAD2132018100937,12/02/2018,Pit 2 Road side West (RW) and RL 370 TO RL 380,115.0,9.0,41,2.5,3.0,3.0,48.78,1999.98,0.0,1.38
MAD215201884137,14/02/2018,Pit 2 Road side West (RW) and RL 360 TO RL350,115.0,12.0,26,2.5,3.0,3.0,57.95,1506.7,0.0,1.42
