burden,spacing,holedia,hole_depth,sremming_length,bench_height,column_charge_density,rock_density,total_rows,hole_blasted,face_length,powder_factor,column_charge,avg_col_weight,drill_factor,production_ton_theoretical,ppv,total_drill_mtr,fragmentation_p80,theoretical_pf,blast_accessories_cost,drilling_cost,frag_in_range,frag_over_size,flyrock,air_blast,total_exp_cost,total_explosive_kg,burden_to_spacing_ratio,explosive_per_hole,charge_per_volume
6.11,9.18,381.0,19.0,6.71,19.0,1.15,2.35,3.0,12,36.23,0.0,3,850.0,168.49,38414.6,0.0,228.0,801.0,3.76,4775.4,0.0,0.0,0.0,0.1,0.1,597536.4,10220.4,0.6655773420479303,851.6999999999999,9.590260430126051
5.3,7.6,381.0,18.08,6.09,19.0,1.15,2.35,2.0,13,52.2,0.0,3,813.85,0.0,0.0,0.0,235.0,801.0,0.0,4775.4,0.0,0.0,0.0,0.1,0.1,619682.9,10600.9,0.6973684210526316,815.4538461538461,13.851591491140962
4.21,8.57,381.0,17.88,6.5,19.0,1.15,2.35,2.0,12,53.67,0.0,3,794.17,0.0,0.0,0.0,214.5,801.0,0.0,4775.4,0.0,0.0,0.0,0.1,0.1,558304.1,9549.1,0.49124854142357055,795.7583333333333,13.929833411206738
6.39,9.07,381.0,19.0,6.51,19.0,1.15,2.35,2.0,11,51.3,0.0,3,850.0,0.0,0.0,0.0,209.0,801.0,0.0,4775.4,0.0,0.0,0.0,0.1,0.1,547741.7,9368.7,0.7045203969128996,851.7,8.507806155293821
4.38,8.38,381.0,19.0,6.51,19.0,1.15,2.35,2.0,8,41.72,0.0,3,850.0,0.0,0.0,0.0,152.0,801.0,0.0,4775.4,0.0,0.0,0.0,0.1,0.1,398357.6,6813.6,0.522673031026253,851.7,9.77023262376689
6.88,7.52,381.0,10.47,8.05,10.0,1.15,2.35,5.0,19,33.27,0.0,3,316.36,0.0,0.0,0.0,199.0,801.0,0.0,4775.4,0.0,0.0,0.0,0.1,0.1,352132.43,6022.9,0.9148936170212766,316.9947368421052,11.641243505690252
8.5,7.85,381.0,19.0,6.61,19.0,1.15,2.35,2.0,16,65.48,3.53,3,200.0,148.96,45284.92,0.0,304.0,270.0,3.53,2336.0,152000.0,88.17,0.57,0.1,0.1,749849.6,12825.6,1.0828025477707006,801.6,10.116621640275287
4.54,6.92,381.0,7.27,5.88,7.0,1.15,2.35,3.0,11,40.0,4.62,3,182.38,117.05,9363.65,0.0,80.0,1080.0,4.62,443.52,40000.0,60.0,15.0,20.0,0.1,125457.4,2028.16,0.6560693641618497,184.37818181818182,9.222363285157714
6.74,9.25,381.0,16.5,6.56,19.0,1.15,2.35,3.0,12,38.0,4.55,3,725.77,200.75,39748.32,0.0,198.0,216.0,4.55,4032.0,99000.0,87.0,3.0,12.0,0.1,510171.3,8726.6,0.7286486486486486,727.2166666666667,7.366985914541748
5.91,8.6,381.0,19.0,6.21,19.0,1.15,2.35,4.0,19,65.21,5.19,3,889.78,243.34,87844.2,5.1,361.0,849.0,5.19,2920.0,180500.0,0.0,0.0,17.0,122.0,990464.3,16939.83,0.6872093023255814,891.57,17.541612560500536
6.0,6.07,381.0,17.73,5.92,19.0,1.15,2.35,3.0,11,26.75,3.0,3,748.86,126.79,24724.82,0.0,195.0,546.0,3.0,4179.84,97500.0,87.0,1.0,12.0,0.1,482544.2,8253.84,0.9884678747940692,750.3490909090909,11.927859186681696
7.11,9.24,381.0,16.67,8.6,17.0,1.15,2.35,7.0,30,52.29,4.78,3,696.35,192.75,96377.38,11.07,500.0,434.0,4.6,5523.84,250000.0,87.0,3.5,16.0,127.0,1223819.0,20932.35,0.7694805194805195,697.745,18.742498917480297
4.0,8.56,381.0,18.0,6.38,16.0,1.15,2.35,2.0,4,41.56,5.33,3,800.67,240.53,25976.97,5.0,108.0,378.0,5.33,2069.76,54000.0,89.0,1.0,21.0,135.0,919493.9,4871.62,0.4672897196261682,1217.905,8.892413843457943
9.2,8.32,381.0,18.0,12.11,18.0,1.15,2.35,2.0,12,40.0,5.99,3,770.53,256.87,55484.13,12.01,216.0,356.0,5.99,2419.2,108000.0,86.0,2.0,11.0,127.0,541982.2,9265.56,1.1057692307692306,772.13,6.724933807134894
7.4,7.14,381.0,19.0,6.01,19.0,1.15,2.35,5.0,17,39.57,5.75,3,850.47,257.84,83282.4,4.7,323.0,356.0,5.75,4798.08,161500.0,0.0,0.0,16.5,135.0,846970.9,14486.89,1.0364145658263306,852.17,14.43084061505114
6.77,6.83,381.0,18.0,6.76,18.0,1.15,2.35,1.0,7,47.88,3.45,3,800.67,0.0,0.0,6.01,0.0,801.0,3.69,1975.68,63000.0,0.0,0.0,16.0,138.0,328329.8,13574.661966101696,0.9912152269399707,0.0,0.0
6.46,9.69,381.0,19.0,7.01,19.0,1.15,2.35,2.0,7,57.87,8.79,3,850.46,394.2,52428.03,0.0,133.0,801.0,8.79,1975.68,66500.0,0.0,0.0,9.2,0.1,348748.7,5965.12,0.6666666666666667,852.16,5.015442881182388
