blastcode,burden,optimized_burden,spacing,optimized_spacing,total_explosive_kg,optimized_explosive,total_cost,optimized_cost,predicted_frag_in_range,frag_in_range,predicted_oversize,frag_over_size,predicted_ppv,ppv
2783,7.76,5.4319999999999995,6.67,4.669,11930.24,8351.168,1326024.0,900286.7999999999,51.42598674877112,85.0,0.7020182033412856,1.0,2.9324184829104034,6.62
2005,9.59,6.712999999999999,8.39,5.873,13654.72,9558.303999999998,1517472.0,1030310.3999999998,3.734912576747269,0.0,0.43623495163317616,0.0,-0.3931968330763118,0.0
224,8.0,5.999387039516497,9.0,6.355996990847993,15100.4,10573.524948108923,1673040.0,1143679.300548756,1.7271990758704527,0.7,1.5164271170457095,2.0,0.062218865671960874,0.0
640,8.0,5.963418549299064,9.0,6.349952423328588,11706.2,8194.521927975387,1330120.0,903339.0558380506,1.6418595138183516,0.0,1.2431384920326387,0.0,0.574850786562471,0.0
2465,5.34,4.637828436338002,8.9,6.237594681224181,6343.4,4444.6969254669475,706340.0,488295.8165011432,4.256185442093316,0.0,0.018188575795684798,0.0,0.5998781529383286,0.0
2464,2.97,2.079,4.81,3.3669999999999995,1152.3,806.6099999999999,172730.0,108835.99999999999,-0.5050999714420898,0.0,0.04591655480567705,0.0,-0.11536951205186771,0.0
2564,16.38,11.474352126853688,12.23,8.771214662064814,19238.4,13473.599917169395,2151840.0,1461906.6452436554,11.304586713770671,0.0,1.1048527432707798,0.0,2.3161875987570677,0.0
1290,7.84,5.4879999999999995,8.63,6.041,20689.5,14482.65,2306450.0,1564640.0,60.16190237800909,80.0,8.03124743394179,10.0,-0.2314314023233395,0.0
249,8.5,5.9500000018486086,9.0,6.300000003290794,9110.04,6377.02800143005,1007004.0000000001,684742.8001821911,-0.5841573572524156,0.0,0.2076174337324691,0.0,-0.5351848814036368,0.0
2526,6.08,4.565810934045624,6.9,4.950122174598571,12775.5,8947.438790619904,1420050.0,971514.6737279003,8.503727469033866,0.0,0.691198502169256,0.0,1.5666506923804897,0.0
966,4.0,2.8,4.5,3.15,801.6,561.12,132160.0,81592.0,0.18802895102309064,0.0,-0.040181413243324075,0.0,0.02218279790486653,0.0
255,8.5,5.950002351084235,9.0,6.3000032686726595,11772.88,8241.016003675855,1306788.0,887556.6583640178,4.865553126078103,0.0,0.34756490767458825,0.0,0.0177653674311841,0.0
290,8.0,5.6,8.75,6.125,49012.5,34308.75,5501250.0,3724875.0,72.23628697221181,90.0,5.828361734853043,5.0,3.5566136859072155,0.0
826,4.0,2.8,5.0,3.5,3030.5,2121.35,495550.0,306460.0,-0.3380930090771697,0.0,0.08457343196156852,0.0,-0.05821403109401666,0.0
2412,7.44,5.210725185014619,8.17,6.0670048746456375,6944.4,4864.593768815723,775440.0,528586.5715574077,10.383908260336113,0.0,-0.21489999324703815,0.0,1.22801255063804,0.0
649,6.5,4.567247016251633,6.8,4.765702750514869,4779.6,3354.3301238379327,573960.0,382707.89021394256,5.704686280627603,0.0,0.3107488510721886,0.0,0.05001869407188294,0.0
2229,5.53,4.569229928161582,7.85,6.086460741290303,9732.04,6825.499500007731,1077704.0,749496.6755892596,6.43159721296117,0.0,0.07294910397527564,0.0,0.13904714951482797,0.0
2625,5.09,3.6246976154362383,8.13,6.058432732582025,11222.84,7881.034591293193,1248284.0,854967.7571538794,7.246743811459296,0.0,0.2074472957313782,0.0,0.07252411817355621,0.0
260,8.5,5.950000004245852,9.0,6.300000003300966,16568.0,11597.600000940956,1837300.0,1248205.000203551,15.799250703471301,0.0,2.2194339112407664,0.0,0.09356603141039473,0.0
275,9.0,6.3,9.0,6.3,31451.02,22015.714,3476602.0,2364006.4,11.796754177160606,0.0,1.1487045582573476,0.0,5.797638610315172,0.0
444,8.22,8.10511492511583,9.75,6.909794337851553,19181.36,13476.725776281084,2127136.0,1493720.085749577,59.56944602864709,80.0,7.325370353118392,10.0,0.17645088977986845,0.0
865,2.0,1.4,2.5,1.75,971.8,680.2599999999999,351430.0,192608.49999999997,0.18802895102309064,0.0,-0.06828072815692932,0.0,-0.1000175820566363,0.0
2072,6.58,4.662968211198868,11.71,10.023462827309821,8812.21,6170.474357735689,985720.9999999999,680436.4124278765,13.272639318291725,0.0,2.637555036407968,0.0,3.1031596733648388,0.0
2664,4.21,2.9774760041796986,8.57,6.374136763038204,9549.1,6696.235501400945,1062160.0,726039.7761774663,13.837914420562576,0.0,1.2650405897599017,0.0,0.7674008569594073,0.0
836,6.14,4.697760681077842,10.03,8.743410062963616,16191.99,11339.14394194852,1799699.0,1254301.406873846,60.070663556036415,80.0,7.686713000391154,10.0,0.6350527656986104,0.0
2084,9.15,6.611780691396724,11.04,8.820294855196991,15240.66,10697.16927292712,1704566.0,1173921.9330986352,-0.9570022672675806,0.0,-0.17101788285458866,0.0,-1.5229983918082215,0.0
2778,10.64,7.4479999999999995,4.17,2.9189999999999996,16425.4,11497.78,1842655.0000000002,1247834.35,66.94738405975922,83.0,4.035411517467723,5.0,7.202386475148325,8.2
205,8.0,6.031271064097898,9.0,6.350324396627981,17284.5,12117.40614029548,1923950.0,1315737.1859905045,34.41468979668497,0.7,5.055753686060021,1.5,0.24661454820843232,0.0
261,8.5,5.950000010435374,9.0,6.300000037015901,21572.5,15100.7500042362,2394750.0,1626450.0013114896,-4.537624300693291,0.0,-0.6618531659415666,0.0,-0.011784392291307635,0.0
54,8.0,6.021609879333876,10.0,9.517446328997822,22405.5,15693.936348829458,2487550.0,1746339.3369286787,4.967824999054141,0.75,1.2343735337357156,1.4,1.9736354409993355,0.0
2582,6.12,4.710015218073647,7.89,6.077016756714392,8416.8,5913.891951868671,946679.9999999999,653629.7733052017,7.455046492945013,0.0,0.6002787620630986,0.0,0.36375786093773027,0.0
2051,5.98,4.573794940335213,8.0,6.160474846261312,3955.84,2777.9436618546774,555584.0,372030.9838506595,6.759983884345774,0.0,0.211634650206776,0.0,0.8832966495506098,0.0
274,8.5,5.95000044946678,9.0,6.3000000246526335,8116.11,5681.27700032197,897111.0,610022.703360912,-3.1595241326811716,0.0,-0.2768759266969215,0.0,-0.7373262435538777,0.0
828,4.0,2.8,4.5,3.15,16282.5,11397.75,2603250.0,1617525.0,6.223134180587978,0.0,0.6636580420640711,0.0,1.6234244971077185,0.0
862,5.0,3.5,5.5,3.8499999999999996,1754.0,1227.8,275400.0,171780.0,6.683134919285102,0.0,0.6117797745426041,0.0,0.15782237419802933,0.0
831,4.0,2.8,5.0,3.5,9914.4,6940.079999999999,1639440.0,1011527.9999999999,-3.591814578298724,0.0,-0.26477373230889284,0.0,-0.5826779419385415,0.0
250,8.0,6.071355628176325,9.0,6.363012107077656,10518.9,7369.693535942299,1171890.0,801356.2025416633,0.1474687647582198,0.0,0.13575876278373317,0.0,0.2643927754588214,0.0
257,8.5,5.950000031551706,9.0,6.300000004336666,20861.04,14602.72800068912,2314104.0,1571992.800738245,-1.1099637002538567,0.0,-0.29352770619385055,0.0,-0.1292810916928815,0.0
266,8.0,5.6,9.0,6.3,19240.08,13468.056,2152008.0,1458525.6,18.592935264261495,0.0,3.158351765363877,0.0,-1.2346862409124189,0.0
2624,5.74,4.57638293937045,8.87,6.219115449717693,7876.08,5515.496786138072,889608.0,608568.1587093894,6.133777423931645,0.0,1.0651634509417562,0.0,0.5363110678641407,0.0
2837,4.93,3.4509999999999996,8.93,6.2509999999999994,10730.19,7511.133,1195019.0,810893.2999999999,11.50577628584098,0.0,0.32693866049866743,0.0,0.23540803735998234,0.0
1082,6.52,4.563999999999999,8.32,5.824,23311.96,16318.371999999998,2597196.0,1762177.1999999997,45.132098235748316,80.0,5.970214849349429,10.0,-0.1846188390781422,0.0
838,5.28,3.6959999999999997,10.45,7.314999999999999,34088.4,23861.88,3788840.0,2572388.0,53.85411319498239,80.0,7.270130055642463,10.0,1.9962418263617885,0.0
53,6.5,4.654277423194726,10.0,7.087466050057336,25049.0,17539.119324942363,2770900.0,1888905.0223050255,28.72581433107228,0.75,5.754184276038157,1.4,3.6473556494011627,0.0
964,9.5,6.6499999999999995,10.0,7.0,13629.44,9540.608,1514944.0,1028540.8,-5.9042086602218475,0.0,-0.6130464255685736,0.0,-0.21011657358120261,0.0
859,5.5,4.577510956429026,6.0,4.213125125618799,2705.4,1898.1434086708582,378540.0,252930.93643433606,-4.747053898718459,0.0,-0.21605965557632792,0.0,0.06916598224270015,0.0
1254,6.71,4.697,6.21,4.3469999999999995,10583.3,7408.309999999999,1191330.0,806000.9999999999,6.275570655056252,0.0,0.049375715072142154,0.0,0.35623179330115395,0.0
2202,6.73,4.728281132064556,8.48,6.0588278633014205,11081.27,7766.7642040552955,1279127.0,862513.9279595198,13.452722531158276,0.0,1.1030061637725874,0.0,0.812559072777232,0.0
240,8.75,7.943484451663066,8.2,5.8454960670462555,17789.94,12453.45489007495,1978493.9999999998,1374453.5673434879,5.942010460870843,0.0,1.0999619251615957,0.0,-0.027700631045800752,0.0
2228,6.6,4.619999999999999,7.68,5.3759999999999994,12782.55,8947.784999999998,1420755.0,964603.4999999998,9.214288003374495,0.0,-0.21299440766056316,0.0,0.21931701480808274,0.0
2411,14.42,10.094,16.36,11.451999999999998,7615.2,5330.639999999999,854520.0,578634.0,-5.100505338930729,0.0,-0.5011461156462419,0.0,3.1761648391631625,0.0
797,4.0,2.8,4.0,2.8,12083.4,8458.38,2030340.0,1248618.0,-2.559660781048149,0.0,-0.05582104813206756,0.0,1.2901143783618438,0.0
116,9.0,7.810559907425013,9.0,6.380107722586327,18937.8,13258.244477989856,2098530.0,1451789.2099117849,2.9828449160918353,0.0,0.4952268752131964,0.0,3.1395173805484022,0.0
803,3.9,2.73,4.0,2.8,16642.6,11649.819999999998,2650360.0,1648170.9999999998,4.041727971408129,0.0,-0.38060742502161093,0.0,1.80075398888829,0.0
