blastcode,burden,optimized_burden,spacing,optimized_spacing,total_explosive_kg,optimized_explosive,total_cost,optimized_cost,predicted_frag_in_range,frag_in_range,predicted_oversize,frag_over_size,predicted_ppv,ppv
266,8.0,8.0,9.0,9.0,19240.08,19240.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,8.25,8.25,9.0,9.0,22975.68,22975.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,8.5,8.5,9.0,9.0,12123.0,12123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
269,8.5,8.5,9.0,9.0,10420.93,10420.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,8.9,8.9,9.0,9.0,22619.28,22619.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,8.5,8.5,8.5,8.5,10218.72,10218.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,8.5,8.5,9.0,9.0,8116.11,8116.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,9.0,9.0,9.0,9.0,31451.02,31451.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
276,8.5,8.5,8.5,8.5,24049.5,24049.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
277,8.0,8.0,9.0,9.0,9819.6,9819.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
280,8.5,8.075,9.0,9.0,40881.07,36792.963,4534607.0,4103471.3000000003,24.8,0.0,3.05,0.0,28.67,0.0
281,9.0,8.549999999999999,9.0,9.0,19882.08,18887.976000000002,2194608.0,2084877.6000000003,8.370000000000003,0.0,1.064,0.0,0.042699999999999995,0.0
283,8.3,8.3,10.0,10.0,12314.12,12314.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
284,8.5,8.5,9.0,9.0,29457.45,29457.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,8.5,8.075,9.5,9.5,20749.91,19712.4145,2293491.0,2178816.45,10.4,0.0,1.15,0.0,0.6921,0.0
286,8.5,8.5,9.0,9.0,21038.4,21038.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
287,8.5,8.5,9.0,9.0,23074.75,23074.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
288,8.6,8.6,9.0,9.0,20157.94,20157.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,8.0,8.0,8.75,8.75,49012.5,49012.5,0.0,0.0,0.0,90.0,0.0,5.0,0.0,0.0
325,8.5,8.5,10.5,10.5,22145.5,22145.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.45
326,7.78,7.78,11.87,11.87,28107.75,28107.75,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
359,8.5,8.5,11.08,11.08,38408.87,38408.87,0.0,0.0,0.0,80.0,0.0,10.0,0.0,61.0
364,8.17,8.17,9.74,9.74,35432.0,35432.0,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
373,7.27,7.27,10.06,10.06,8918.2,8918.2,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
444,8.22,7.809,9.75,9.75,19181.36,18222.292,2127136.0,2020779.2000000002,20.0745,80.0,3.225,10.0,1.0162,0.0
488,5.92,5.92,10.44,10.44,17189.97,17189.97,0.0,0.0,0.0,80.0,0.0,10.0,0.0,17.5
567,6.42,6.098999999999999,10.13,10.13,7216.16,6855.352,797616.0,757735.2,20.2595,80.0,3.05,10.0,0.47639999999999993,0.0
631,6.25,6.25,9.7,9.7,21374.08,21374.08,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
638,6.67,6.3365,9.52,9.996,18942.42,17995.299,2093741.9999999998,1998531.15,49.7345,80.0,5.062999999999997,10.0,4.330799999999998,0.0
640,8.0,7.6,9.0,9.0,11706.2,11120.89,1330120.0,1263614.0,1.66,0.0,0.105,0.0,0.0,0.0
641,7.0,7.0,8.0,8.0,3127.4,3127.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643,4.0,4.0,4.5,4.5,781.2,781.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645,8.5,8.5,9.0,9.0,10679.5,10679.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,5.2,4.9399999999999995,5.5,5.5,640.8,608.7599999999999,88080.0,83675.99999999999,0.0,0.0,0.0,0.0,0.0,0.0
647,4.5,4.5,4.5,4.5,991.8,991.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,8.0,7.6,8.0,8.0,10352.3,9834.685,1173230.0,1114568.5,3.4717000000000002,0.0,0.0635,0.0,0.0,0.0
649,6.5,6.5,6.8,6.8,4779.6,4779.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,8.5,8.5,9.0,9.0,11620.98,11620.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,8.5,8.5,9.0,9.0,11170.1,11170.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,7.98,7.98,10.57,10.57,9369.25,9369.25,0.0,0.0,0.0,80.0,0.0,10.0,0.0,0.0
658,8.0,8.0,9.0,9.0,13206.88,13206.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,4.0,3.8,5.0,5.0,721.2,685.14,113520.0,107844.0,0.0,0.0,0.0,0.0,0.0,0.0
661,9.0,9.0,9.5,9.5,31725.75,31725.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663,2.5,2.375,2.8,2.8,641.6,609.52,104160.0,98952.0,0.0,0.0,0.0,0.0,0.0,0.0
665,4.5,4.2749999999999995,5.0,5.0,6285.5,5971.224999999999,1018550.0,967622.5,0.0,0.0,0.0,0.0,0.0,0.0
793,4.5,4.5,5.0,5.0,4907.7,4907.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
794,4.0,4.0,4.5,4.5,2929.5,2929.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
